PC,ADRES,PLAATS,OPP,KAMERS,VRGPRIJS,MAKELAAR
1056 NP,Orteliusstraat 209 -3                                    1,Amsterdam,51,3,3e5,Geldhof Makelaardij O.G.
1058 LJ,Bennebroekstraat 3 I                                    1,Amsterdam,71,3,435e3,De Graaf & Groot Makelaars
1025 VA,Loenermark 596                                    1,Amsterdam,97,4,3e5,Geldhof Makelaardij O.G.
1078 AN,Amstelkade 94 hs                                    1,Amsterdam,70,3,425e3,Ramón Mossel Makelaardij o.g. B.V.
1069 EV,Dijkgraafplein 375                                    1,Amsterdam,100,4,24e4,AVT Makelaars
1059 AK,Aalsmeerweg 34 1                                    1,Amsterdam,58,4,325e3,Zelfverkopen.nl
1107 JX,Schaarsbergenstraat 120                                    1,Amsterdam,75,3,2e5,Verzijlbergen Makelaardij
1018 AD,Entrepotdok 154                                    1,Amsterdam,134,4,86e4,BRIDGES Makelaardij B.V.
1091 LT,Transvaalkade 135 -III                                    1,Amsterdam,102,3,55e4,P&P Vastgoed Makelaars B.V.
1075 SW,Veerstraat 52 1                                    1,Amsterdam,53,2,325e3,Lankhorst Makelaars
1019 CT,Dick Greinerstraat 14                                    1,Amsterdam,57,2,275e3,ISAAK makelaardij o.g. B.V.
1013 KR,Grote Bickersstraat 287                                    1,Amsterdam,60,2,375e3,DE LA HAYE MAKELAARDIJ O.G.
1017 GJ,Kerkstraat 205 D                                    1,Amsterdam,160,3,699e3,PC22 makelaars taxateurs o.z.
1056 KZ,Korte Geuzenstraat 616                                    1,Amsterdam,31,2,209e3,Poel Makelaardij
1015 AB,Singel 58 c                                    1,Amsterdam,42,2,45e4,Brummer Makelaars en Taxateurs o.g.
1057 HL,Baarsjesweg 133 B                                    1,Amsterdam,110,3,595e3,27 Huis Makelaars BV
1012 XJ,Kalverstraat 218 F                                    1,Amsterdam,93,4,625e3,Makelaar1 Internetmakelaar
1023 VK,Watergangseweg 1 H                                    1,Amsterdam,56,3,2e5,123 makelaar o.z.
1057 RA,Van Spilbergenstraat 77 hs                                    1,Amsterdam,64,3,399e3,Makelaar1 Internetmakelaar
1013 EC,Prinseneiland 505                                    1,Amsterdam,139,3,699e3,Peter Bruin Makelaardij - Certified Expat Broker
1055 BC,Lanseloetstraat 37 HS                                    1,Amsterdam,63,2,34e4,Bakker Berkeveld Den Baas Makelaars B.V.
1082 RC,De Boelelaan 265                                    1,Amsterdam,69,3,299e3,PC22 makelaars taxateurs o.z.
1053 ST,Jan Hanzenstraat 78 B                                    1,Amsterdam,96,3,615e3,Finsens Makelaardij
1058 DN,Postjeskade 149 III                                    1,Amsterdam,107,4,525e3,Ouwehand v/d Meijden Makelaars B.V.
1025 GZ,Het Hoogt 279                                    1,Amsterdam,56,2,175e3,123 makelaar o.z.
1065 TJ,Ward Bingleystraat 7 I                                    1,Amsterdam,56,3,25e4,Geldhof Makelaardij O.G.
1054 VL,Staringplein 14 HS                                    1,Amsterdam,134,5,899e3,ME Makelaars B.V.
1015 CD,Keizersgracht 31 hs-a                                    1,Amsterdam,188,5,1095e3,PC22 makelaars taxateurs o.z.
1087 LL,Fritz Dietrich Kahlenbergstraat 127                                    1,Amsterdam,81,3,325e3,Makelaar1 Internetmakelaar
1055 MZ,Admiraal De Ruijterweg 344 -A-III                                    1,Amsterdam,67,3,35e4,PRO makelaars
1074 EK,Kuipersstraat 12 II                                    1,Amsterdam,51,3,339e3,Woe van Os NVM Makelaars
1053 BX,Ten Katestraat 47 II                                    1,Amsterdam,47,2,275e3,Domvast B.V.
1031 EB,Van der Pekstraat 36                                    1,Amsterdam,79,4,42e4,Meerdere makelaars betrokken
1083 GE,Weerdestein 78                                    1,Amsterdam,111,3,42e4,FRIS Woningmakelaars Amsterdam
1069 HV,Rengerskerkestraat 46                                    1,Amsterdam,101,3,35e4,Mangré Makelaars
1095 VC,Niasstraat 34 F                                    1,Amsterdam,38,2,195e3,Emanuels Makelaars en Taxateurs
1024 HL,Wieringerwaardstraat 211                                    1,Amsterdam,40,2,18e4,Yamsterdam Apartments
1054 SZ,Busken Huetstraat 10 1                                    1,Amsterdam,59,2,398e3,Makelaarsbalie Internetmakelaar
1019 CV,Dick Greinerstraat 78                                    1,Amsterdam,65,3,325e3,Makelaar1 Internetmakelaar
1051 GA,Fannius Scholtenstraat 66 I-II                                    1,Amsterdam,65,3,325e3,Broersma Makelaardij
1034 WN,George Ortonpad 4                                    1,Amsterdam,91,4,295e3,Emanuels Makelaars en Taxateurs
1019 WT,Scheepstimmermanstraat 13                                    1,Amsterdam,142,5,75e4,Finsens Makelaardij
